         x         y           v           s          Vx          Vy
    0.0875     0.275  -0.0065334  3.2275e-05  0.00021847  0.00068703
    0.0875       0.3  -0.0073115  3.7883e-05  0.00022923  0.00080082
    0.0875     0.325  -0.0081019  4.3737e-05  0.00023811  0.00091912
    0.0875      0.35  -0.0088894  4.9788e-05  0.00024494   0.0010408
    0.0875     0.375  -0.0096565  5.5984e-05  0.00024945   0.0011647
    0.0875       0.4   -0.010383  6.2261e-05  0.00025125   0.0012893
    0.0875     0.425   -0.011046  6.8546e-05  0.00024983    0.001413
    0.0875      0.45    -0.01162  7.4752e-05  0.00024456   0.0015338
    0.0875     0.475   -0.012075  8.0774e-05  0.00023464   0.0016493
    0.0875       0.5   -0.012378  8.6485e-05  0.00021916   0.0017568
       0.1     0.025  -0.0011949  1.8076e-07  2.0694e-05  7.5202e-06
       0.1      0.05   -0.001669  1.0347e-06  5.0209e-05  2.9219e-05
       0.1     0.075  -0.0020725  2.6912e-06  8.2797e-05  6.4719e-05
       0.1       0.1  -0.0024567  5.1745e-06  0.00011525  0.00011357
       0.1     0.125  -0.0028548  8.4537e-06  0.00014594  0.00017513
       0.1      0.15  -0.0032867  1.2471e-05  0.00017415  0.00024855
       0.1     0.175   -0.003762  1.7161e-05  0.00019969  0.00033289
       0.1       0.2   -0.004283  2.2456e-05  0.00022258  0.00042715
       0.1     0.225  -0.0048472   2.829e-05  0.00024295  0.00053031
       0.1      0.25  -0.0054482  3.4603e-05  0.00026094  0.00064137
       0.1     0.275  -0.0060768  4.1337e-05   0.0002766  0.00075929
       0.1       0.3  -0.0067216  4.8433e-05  0.00028994  0.00088302
       0.1     0.325  -0.0073693  5.5834e-05  0.00030084   0.0010114
       0.1      0.35  -0.0080043  6.3475e-05  0.00030906   0.0011433
       0.1     0.375  -0.0086088  7.1287e-05  0.00031425   0.0012772
       0.1       0.4  -0.0091627  7.9188e-05   0.0003159   0.0014115
       0.1     0.425  -0.0096431  8.7082e-05  0.00031337   0.0015444
       0.1      0.45   -0.010024  9.4856e-05  0.00030582   0.0016735
       0.1     0.475   -0.010276  0.00010237  0.00029226   0.0017964
       0.1       0.5   -0.010366  0.00010947  0.00027152   0.0019097
    0.1125     0.025  -0.0014867  2.8396e-07  2.8601e-05  8.9266e-06
    0.1125      0.05  -0.0019274    1.43e-06  6.5496e-05  3.3845e-05
    0.1125     0.075  -0.0022934  3.5587e-06  0.00010513  7.3745e-05
    0.1125       0.1  -0.0026306  6.6867e-06  0.00014429  0.00012782
    0.1125     0.125  -0.0029706  1.0773e-05  0.00018129  0.00019524
    0.1125      0.15  -0.0033327  1.5751e-05  0.00021534  0.00027508
    0.1125     0.175  -0.0037267  2.1541e-05  0.00024622  0.00036633
    0.1125       0.2  -0.0041559  2.8062e-05  0.00027395  0.00046795
    0.1125     0.225  -0.0046181  3.5238e-05  0.00029863  0.00057888
    0.1125      0.25  -0.0051074  4.2994e-05  0.00032039  0.00069806
    0.1125     0.275  -0.0056152  5.1258e-05  0.00033929  0.00082437
    0.1125       0.3  -0.0061301  5.9958e-05   0.0003553  0.00095667
    0.1125     0.325  -0.0066387  6.9022e-05  0.00036824   0.0010937
    0.1125      0.35  -0.0071254   7.837e-05  0.00037781   0.0012342
    0.1125     0.375  -0.0075723  8.7913e-05  0.00038356   0.0013765
    0.1125       0.4  -0.0079591  9.7548e-05  0.00038484   0.0015188
    0.1125     0.425   -0.008263  0.00010716  0.00038085   0.0016592
    0.1125      0.45  -0.0084581  0.00011659  0.00037056    0.001795
    0.1125     0.475  -0.0085151  0.00012568  0.00035275   0.0019235
    0.1125       0.5  -0.0084019  0.00013423  0.00032595   0.0020411
     0.125     0.025  -0.0018126  4.0392e-07  3.7617e-05  1.0196e-05
     0.125      0.05  -0.0022044  1.8808e-06  8.2618e-05  3.8073e-05
     0.125     0.075  -0.0025212  4.5348e-06  0.00012979   8.203e-05
     0.125       0.1  -0.0028038  8.3701e-06    0.000176  0.00014091
     0.125     0.125  -0.0030808  1.3335e-05  0.00021957  0.00021367
     0.125      0.15  -0.0033704  1.9348e-05  0.00025969  0.00029928
     0.125     0.175  -0.0036823  2.6319e-05  0.00029612  0.00039668
     0.125       0.2    -0.00402  3.4155e-05  0.00032886  0.00050478
     0.125     0.225  -0.0043815  4.2762e-05  0.00035801  0.00062248
     0.125      0.25  -0.0047615  5.2055e-05  0.00038368  0.00074867
     0.125     0.275  -0.0051511  6.1946e-05  0.00040591  0.00088216
     0.125       0.3  -0.0055393   7.235e-05  0.00042462   0.0010217
     0.125     0.325  -0.0059125  8.3177e-05  0.00043959   0.0011661
     0.125      0.35  -0.0062552   9.433e-05  0.00045044   0.0013137
     0.125     0.375  -0.0065494   0.0001057  0.00045658   0.0014629
     0.125       0.4  -0.0067749  0.00011716  0.00045725   0.0016118
     0.125     0.425  -0.0069087  0.00012856  0.00045146    0.001758
     0.125      0.45  -0.0069252  0.00013973  0.00043797    0.001899
     0.125     0.475  -0.0067957  0.00015046  0.00041531   0.0020316
     0.125       0.5  -0.0064888   0.0001605   0.0003817    0.002152
    0.1375     0.025  -0.0021706  5.3886e-07  4.7637e-05   1.132e-05
    0.1375      0.05  -0.0025001  2.3818e-06  0.00010141  4.1859e-05
    0.1375     0.075  -0.0027575  5.6095e-06  0.00015655  8.9486e-05
    0.1375       0.1  -0.0029782  1.0209e-05  0.00021011  0.00015269
    0.1375     0.125  -0.0031876  1.6115e-05  0.00026047  0.00023023
    0.1375      0.15  -0.0034022  2.3233e-05  0.00030685  0.00032096
    0.1375     0.175  -0.0036313  3.1458e-05  0.00034897  0.00042375
    0.1375       0.2  -0.0038777  4.0682e-05  0.00038685  0.00053747
    0.1375     0.225  -0.0041399    5.08e-05  0.00042057  0.00066098
    0.1375      0.25  -0.0044124   6.171e-05  0.00045023   0.0007931
    0.1375     0.275  -0.0046865  7.3312e-05  0.00047583  0.00093263
    0.1375       0.3  -0.0049512  8.5502e-05  0.00049726   0.0010783
    0.1375     0.325  -0.0051929  9.8175e-05  0.00051422   0.0012286
    0.1375      0.35   -0.005396  0.00011121  0.00052623    0.001382
    0.1375     0.375  -0.0055425  0.00012449   0.0005326   0.0015367
    0.1375       0.4  -0.0056121  0.00013784  0.00053241   0.0016907
    0.1375     0.425  -0.0055822  0.00015111  0.00052447   0.0018415
    0.1375      0.45  -0.0054274  0.00016407  0.00050733   0.0019862
    0.1375     0.475  -0.0051195  0.00017647  0.00047923   0.0021215
    0.1375       0.5   -0.004628  0.00018803  0.00043811   0.0022434
      0.15     0.025  -0.0025578  6.8692e-07  5.8546e-05  1.2296e-05
      0.15      0.05  -0.0028137  2.9273e-06   0.0001217  4.5182e-05
      0.15     0.075  -0.0030029  6.7719e-06   0.0001852  9.6057e-05
